day,cases,cases_cummulative
3/17/2020,1,1
3/22/2020,1,2
3/25/2020,1,3
3/29/2020,3,6
3/30/2020,1,7
4/9/2020,3,10
4/11/2020,2,12
4/15/2020,2,14
4/21/2020,3,17
4/26/2020,1,18
4/27/2020,1,19
5/20/2020,1,20
5/22/2020,1,21
5/30/2020,2,23
5/31/2020,1,24
6/1/2020,1,25
6/2/2020,5,30
6/4/2020,1,31
6/6/2020,5,36
6/7/2020,3,39
6/8/2020,4,43
6/9/2020,3,46
6/13/2020,4,50
6/14/2020,4,54
6/15/2020,3,57
6/16/2020,10,67
6/18/2020,7,74
6/19/2020,7,81
6/20/2020,13,94
6/21/2020,7,101
6/22/2020,4,105
6/23/2020,8,113
6/24/2020,4,117
6/25/2020,8,125
6/26/2020,12,137
6/27/2020,10,147
6/28/2020,6,153
6/29/2020,4,157
6/30/2020,7,164
7/1/2020,22,186
7/2/2020,5,191
7/3/2020,1,192
7/4/2020,14,206
7/5/2020,28,234
7/6/2020,6,240
7/7/2020,7,247
7/8/2020,20,267
7/9/2020,13,280
7/10/2020,24,304
7/11/2020,10,314
7/12/2020,22,336
7/13/2020,16,352
7/14/2020,26,378
7/15/2020,48,426
7/16/2020,32,458
7/17/2020,47,505
7/18/2020,24,529
7/19/2020,24,553
7/20/2020,28,581
7/21/2020,23,604
7/22/2020,24,628
7/23/2020,47,675
7/24/2020,62,737
7/25/2020,69,806
7/26/2020,43,849
7/27/2020,26,875
7/28/2020,104,979
7/29/2020,113,1092
7/30/2020,89,1181
7/31/2020,98,1279
8/1/2020,92,1371
8/2/2020,76,1447
8/3/2020,112,1559
8/4/2020,115,1674
8/5/2020,114,1788
8/6/2020,250,2038
8/7/2020,141,2179
8/8/2020,221,2400
8/9/2020,198,2598
8/10/2020,115,2713
8/11/2020,423,3136
8/12/2020,154,3290
8/13/2020,188,3478
8/14/2020,323,3801
8/15/2020,156,3957
8/16/2020,181,4138
8/17/2020,135,4273
8/18/2020,144,4417
8/19/2020,334,4751
8/20/2020,219,4970
8/21/2020,196,5166
8/22/2020,224,5390
8/23/2020,404,5794
8/24/2020,220,6014
8/25/2020,271,6285
8/26/2020,277,6562
8/27/2020,311,6873
8/28/2020,326,7199
8/29/2020,102,7301
8/30/2020,407,7708
8/31/2020,94,7802
9/1/2020,552,8354
9/2/2020,105,8459
9/3/2020,393,8852
9/4/2020,259,9111
9/5/2020,174,9285
9/6/2020,246,9531
9/7/2020,64,9595
9/8/2020,151,9746
9/9/2020,222,9968
9/10/2020,187,10155
9/11/2020,248,10403
9/12/2020,200,10603
9/13/2020,236,10839
9/14/2020,151,10990
9/15/2020,175,11165
9/16/2020,159,11324
9/17/2020,310,11634
9/18/2020,105,11739
9/19/2020,139,11878
9/20/2020,226,12104
9/21/2020,100,12204
9/22/2020,225,12429
9/23/2020,167,12596
9/24/2020,120,12716
